ccode;cname;year;ccode_qog;cname_qog;ccodealp;ccodecow;cname_year;ccodealp_year;wdi_povgap365
156,00;China;2011;156;China;CHN;710,00;China 2011;CHN11;9,10
156,00;China;2012;156;China;CHN;710,00;China 2012;CHN12;7,60
156,00;China;2013;156;China;CHN;710,00;China 2013;CHN13;3,70
156,00;China;2014;156;China;CHN;710,00;China 2014;CHN14;2,90
156,00;China;2015;156;China;CHN;710,00;China 2015;CHN15;1,90
156,00;China;2016;156;China;CHN;710,00;China 2016;CHN16;1,40
156,00;China;2017;156;China;CHN;710,00;China 2017;CHN17;1,10
156,00;China;2018;156;China;CHN;710,00;China 2018;CHN18;0,70
156,00;China;2019;156;China;CHN;710,00;China 2019;CHN19;0,20
156,00;China;2020;156;China;CHN;710,00;China 2020;CHN20;0,00
156,00;China;2021;156;China;CHN;710,00;China 2021;CHN21;0,00
170,00;Colombia;1980;170;Colombia;COL;100,00;Colombia 1980;COL80;16,70
170,00;Colombia;1988;170;Colombia;COL;100,00;Colombia 1988;COL88;11,90
170,00;Colombia;1989;170;Colombia;COL;100,00;Colombia 1989;COL89;11,40
170,00;Colombia;1991;170;Colombia;COL;100,00;Colombia 1991;COL91;10,40
170,00;Colombia;1992;170;Colombia;COL;100,00;Colombia 1992;COL92;9,70
170,00;Colombia;1996;170;Colombia;COL;100,00;Colombia 1996;COL96;16,00
170,00;Colombia;1999;170;Colombia;COL;100,00;Colombia 1999;COL99;18,70
170,00;Colombia;2000;170;Colombia;COL;100,00;Colombia 2000;COL00;16,40
170,00;Colombia;2001;170;Colombia;COL;100,00;Colombia 2001;COL01;18,60
170,00;Colombia;2002;170;Colombia;COL;100,00;Colombia 2002;COL02;12,10
170,00;Colombia;2003;170;Colombia;COL;100,00;Colombia 2003;COL03;11,60
170,00;Colombia;2004;170;Colombia;COL;100,00;Colombia 2004;COL04;10,70
170,00;Colombia;2005;170;Colombia;COL;100,00;Colombia 2005;COL05;9,50
170,00;Colombia;2008;170;Colombia;COL;100,00;Colombia 2008;COL08;9,70
170,00;Colombia;2009;170;Colombia;COL;100,00;Colombia 2009;COL09;8,60
170,00;Colombia;2010;170;Colombia;COL;100,00;Colombia 2010;COL10;7,50
170,00;Colombia;2011;170;Colombia;COL;100,00;Colombia 2011;COL11;6,40
170,00;Colombia;2012;170;Colombia;COL;100,00;Colombia 2012;COL12;6,20
170,00;Colombia;2013;170;Colombia;COL;100,00;Colombia 2013;COL13;5,70
170,00;Colombia;2014;170;Colombia;COL;100,00;Colombia 2014;COL14;5,10
170,00;Colombia;2015;170;Colombia;COL;100,00;Colombia 2015;COL15;4,60
170,00;Colombia;2016;170;Colombia;COL;100,00;Colombia 2016;COL16;4,60
170,00;Colombia;2017;170;Colombia;COL;100,00;Colombia 2017;COL17;4,20
170,00;Colombia;2018;170;Colombia;COL;100,00;Colombia 2018;COL18;4,30
170,00;Colombia;2019;170;Colombia;COL;100,00;Colombia 2019;COL19;5,00
170,00;Colombia;2020;170;Colombia;COL;100,00;Colombia 2020;COL20;8,40
170,00;Colombia;2021;170;Colombia;COL;100,00;Colombia 2021;COL21;6,60
170,00;Colombia;2022;170;Colombia;COL;100,00;Colombia 2022;COL22;5,50
174,00;Comoros (the);2004;174;Comoros;COM;581,00;Comoros 2004;COM04;13,20
174,00;Comoros (the);2014;174;Comoros;COM;581,00;Comoros 2014;COM14;16,10
178,00;Congo (the);2005;178;Congo;COG;484,00;Congo 2005;COG05;37,30
178,00;Congo (the);2011;178;Congo;COG;484,00;Congo 2011;COG11;27,80
180,00;Congo (the Democratic Republic of the);2004;180;Congo, Democratic Republic;COD;490,00;Congo, Democratic Republic 2004;COD04;73,50
180,00;Congo (the Democratic Republic of the);2012;180;Congo, Democratic Republic;COD;490,00;Congo, Democratic Republic 2012;COD12;52,30
180,00;Congo (the Democratic Republic of the);2020;180;Congo, Democratic Republic;COD;490,00;Congo, Democratic Republic 2020;COD20;59,30
188,00;Costa Rica;1981;188;Costa Rica;CRI;94,00;Costa Rica 1981;CRI81;21,20
188,00;Costa Rica;1986;188;Costa Rica;CRI;94,00;Costa Rica 1986;CRI86;12,20
188,00;Costa Rica;1989;188;Costa Rica;CRI;94,00;Costa Rica 1989;CRI89;9,70
188,00;Costa Rica;1990;188;Costa Rica;CRI;94,00;Costa Rica 1990;CRI90;9,30
188,00;Costa Rica;1991;188;Costa Rica;CRI;94,00;Costa Rica 1991;CRI91;11,00
188,00;Costa Rica;1992;188;Costa Rica;CRI;94,00;Costa Rica 1992;CRI92;9,10
188,00;Costa Rica;1993;188;Costa Rica;CRI;94,00;Costa Rica 1993;CRI93;7,80
188,00;Costa Rica;1994;188;Costa Rica;CRI;94,00;Costa Rica 1994;CRI94;6,40
188,00;Costa Rica;1995;188;Costa Rica;CRI;94,00;Costa Rica 1995;CRI95;6,80
188,00;Costa Rica;1996;188;Costa Rica;CRI;94,00;Costa Rica 1996;CRI96;7,70
188,00;Costa Rica;1997;188;Costa Rica;CRI;94,00;Costa Rica 1997;CRI97;6,10
188,00;Costa Rica;1998;188;Costa Rica;CRI;94,00;Costa Rica 1998;CRI98;4,80
188,00;Costa Rica;1999;188;Costa Rica;CRI;94,00;Costa Rica 1999;CRI99;6,00
188,00;Costa Rica;2000;188;Costa Rica;CRI;94,00;Costa Rica 2000;CRI00;6,20
188,00;Costa Rica;2001;188;Costa Rica;CRI;94,00;Costa Rica 2001;CRI01;4,70
188,00;Costa Rica;2002;188;Costa Rica;CRI;94,00;Costa Rica 2002;CRI02;4,30
188,00;Costa Rica;2003;188;Costa Rica;CRI;94,00;Costa Rica 2003;CRI03;4,30
188,00;Costa Rica;2004;188;Costa Rica;CRI;94,00;Costa Rica 2004;CRI04;4,00
188,00;Costa Rica;2005;188;Costa Rica;CRI;94,00;Costa Rica 2005;CRI05;3,00
188,00;Costa Rica;2006;188;Costa Rica;CRI;94,00;Costa Rica 2006;CRI06;3,10
188,00;Costa Rica;2007;188;Costa Rica;CRI;94,00;Costa Rica 2007;CRI07;1,90
188,00;Costa Rica;2008;188;Costa Rica;CRI;94,00;Costa Rica 2008;CRI08;2,10
188,00;Costa Rica;2009;188;Costa Rica;CRI;94,00;Costa Rica 2009;CRI09;2,30
188,00;Costa Rica;2010;188;Costa Rica;CRI;94,00;Costa Rica 2010;CRI10;1,50
188,00;Costa Rica;2011;188;Costa Rica;CRI;94,00;Costa Rica 2011;CRI11;1,60
188,00;Costa Rica;2012;188;Costa Rica;CRI;94,00;Costa Rica 2012;CRI12;1,60
188,00;Costa Rica;2013;188;Costa Rica;CRI;94,00;Costa Rica 2013;CRI13;1,50
188,00;Costa Rica;2014;188;Costa Rica;CRI;94,00;Costa Rica 2014;CRI14;1,50
188,00;Costa Rica;2015;188;Costa Rica;CRI;94,00;Costa Rica 2015;CRI15;1,50
188,00;Costa Rica;2016;188;Costa Rica;CRI;94,00;Costa Rica 2016;CRI16;1,40
188,00;Costa Rica;2017;188;Costa Rica;CRI;94,00;Costa Rica 2017;CRI17;1,00
188,00;Costa Rica;2018;188;Costa Rica;CRI;94,00;Costa Rica 2018;CRI18;1,40
188,00;Costa Rica;2019;188;Costa Rica;CRI;94,00;Costa Rica 2019;CRI19;1,10
188,00;Costa Rica;2020;188;Costa Rica;CRI;94,00;Costa Rica 2020;CRI20;2,20
188,00;Costa Rica;2021;188;Costa Rica;CRI;94,00;Costa Rica 2021;CRI21;1,20
188,00;Costa Rica;2022;188;Costa Rica;CRI;94,00;Costa Rica 2022;CRI22;1,00
188,00;Costa Rica;2023;188;Costa Rica;CRI;94,00;Costa Rica 2023;CRI23;0,90
191,00;Croatia;2009;191;Croatia;HRV;344,00;Croatia 2009;HRV09;0,80
191,00;Croatia;2010;191;Croatia;HRV;344,00;Croatia 2010;HRV10;1,10
191,00;Croatia;2011;191;Croatia;HRV;344,00;Croatia 2011;HRV11;0,70
191,00;Croatia;2012;191;Croatia;HRV;344,00;Croatia 2012;HRV12;0,80
191,00;Croatia;2013;191;Croatia;HRV;344,00;Croatia 2013;HRV13;0,80
191,00;Croatia;2014;191;Croatia;HRV;344,00;Croatia 2014;HRV14;0,80
191,00;Croatia;2015;191;Croatia;HRV;344,00;Croatia 2015;HRV15;0,50
191,00;Croatia;2016;191;Croatia;HRV;344,00;Croatia 2016;HRV16;0,60
191,00;Croatia;2017;191;Croatia;HRV;344,00;Croatia 2017;HRV17;0,50
191,00;Croatia;2018;191;Croatia;HRV;344,00;Croatia 2018;HRV18;0,40
191,00;Croatia;2019;191;Croatia;HRV;344,00;Croatia 2019;HRV19;0,30
191,00;Croatia;2020;191;Croatia;HRV;344,00;Croatia 2020;HRV20;0,30
191,00;Croatia;2021;191;Croatia;HRV;344,00;Croatia 2021;HRV21;0,30
196,00;Cyprus;2004;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2004;CYP04;0,10
196,00;Cyprus;2005;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2005;CYP05;0,00
196,00;Cyprus;2006;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2006;CYP06;0,00
196,00;Cyprus;2007;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2007;CYP07;0,00
196,00;Cyprus;2008;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2008;CYP08;0,00
196,00;Cyprus;2009;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2009;CYP09;0,10
196,00;Cyprus;2010;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2010;CYP10;0,00
196,00;Cyprus;2011;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2011;CYP11;0,00
196,00;Cyprus;2012;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2012;CYP12;0,00
196,00;Cyprus;2013;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2013;CYP13;0,10
196,00;Cyprus;2014;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2014;CYP14;0,10
196,00;Cyprus;2015;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2015;CYP15;0,00
196,00;Cyprus;2016;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2016;CYP16;0,00
196,00;Cyprus;2017;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2017;CYP17;0,00
196,00;Cyprus;2018;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2018;CYP18;0,00
196,00;Cyprus;2019;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2019;CYP19;0,20
196,00;Cyprus;2020;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2020;CYP20;0,00
196,00;Cyprus;2021;196;Cyprus (1975-);CYP;352,00;Cyprus (1975-) 2021;CYP21;0,00
203,00;Czechia;1993;203;Czech Republic;CZE;316,00;Czech Republic 1993;CZE93;0,00
203,00;Czechia;1996;203;Czech Republic;CZE;316,00;Czech Republic 1996;CZE96;0,10
203,00;Czechia;2002;203;Czech Republic;CZE;316,00;Czech Republic 2002;CZE02;0,00
203,00;Czechia;2004;203;Czech Republic;CZE;316,00;Czech Republic 2004;CZE04;0,00
203,00;Czechia;2005;203;Czech Republic;CZE;316,00;Czech Republic 2005;CZE05;0,00
203,00;Czechia;2006;203;Czech Republic;CZE;316,00;Czech Republic 2006;CZE06;0,00
203,00;Czechia;2007;203;Czech Republic;CZE;316,00;Czech Republic 2007;CZE07;0,10
203,00;Czechia;2008;203;Czech Republic;CZE;316,00;Czech Republic 2008;CZE08;0,00
203,00;Czechia;2009;203;Czech Republic;CZE;316,00;Czech Republic 2009;CZE09;0,00
203,00;Czechia;2010;203;Czech Republic;CZE;316,00;Czech Republic 2010;CZE10;0,00
203,00;Czechia;2011;203;Czech Republic;CZE;316,00;Czech Republic 2011;CZE11;0,00
203,00;Czechia;2012;203;Czech Republic;CZE;316,00;Czech Republic 2012;CZE12;0,10
203,00;Czechia;2013;203;Czech Republic;CZE;316,00;Czech Republic 2013;CZE13;0,00
203,00;Czechia;2014;203;Czech Republic;CZE;316,00;Czech Republic 2014;CZE14;0,00
203,00;Czechia;2015;203;Czech Republic;CZE;316,00;Czech Republic 2015;CZE15;0,00
203,00;Czechia;2016;203;Czech Republic;CZE;316,00;Czech Republic 2016;CZE16;0,00
203,00;Czechia;2017;203;Czech Republic;CZE;316,00;Czech Republic 2017;CZE17;0,00
203,00;Czechia;2018;203;Czech Republic;CZE;316,00;Czech Republic 2018;CZE18;0,00
203,00;Czechia;2019;203;Czech Republic;CZE;316,00;Czech Republic 2019;CZE19;0,00
203,00;Czechia;2020;203;Czech Republic;CZE;316,00;Czech Republic 2020;CZE20;0,00
203,00;Czechia;2021;203;Czech Republic;CZE;316,00;Czech Republic 2021;CZE21;0,00
204,00;Benin;2003;204;Benin;BEN;434,00;Benin 2003;BEN03;39,40
204,00;Benin;2011;204;Benin;BEN;434,00;Benin 2011;BEN11;39,60
204,00;Benin;2015;204;Benin;BEN;434,00;Benin 2015;BEN15;40,60
204,00;Benin;2018;204;Benin;BEN;434,00;Benin 2018;BEN18;18,20
204,00;Benin;2021;204;Benin;BEN;434,00;Benin 2021;BEN21;13,20
208,00;Denmark;1987;208;Denmark;DNK;390,00;Denmark 1987;DNK87;0,50
208,00;Denmark;1992;208;Denmark;DNK;390,00;Denmark 1992;DNK92;0,50
208,00;Denmark;1995;208;Denmark;DNK;390,00;Denmark 1995;DNK95;0,00
208,00;Denmark;2000;208;Denmark;DNK;390,00;Denmark 2000;DNK00;0,00
208,00;Denmark;2003;208;Denmark;DNK;390,00;Denmark 2003;DNK03;0,30
208,00;Denmark;2004;208;Denmark;DNK;390,00;Denmark 2004;DNK04;0,20
208,00;Denmark;2005;208;Denmark;DNK;390,00;Denmark 2005;DNK05;0,20
208,00;Denmark;2006;208;Denmark;DNK;390,00;Denmark 2006;DNK06;0,10
208,00;Denmark;2007;208;Denmark;DNK;390,00;Denmark 2007;DNK07;0,10
208,00;Denmark;2008;208;Denmark;DNK;390,00;Denmark 2008;DNK08;0,20
208,00;Denmark;2009;208;Denmark;DNK;390,00;Denmark 2009;DNK09;0,30
208,00;Denmark;2010;208;Denmark;DNK;390,00;Denmark 2010;DNK10;0,00
208,00;Denmark;2011;208;Denmark;DNK;390,00;Denmark 2011;DNK11;0,00
208,00;Denmark;2012;208;Denmark;DNK;390,00;Denmark 2012;DNK12;0,00
208,00;Denmark;2013;208;Denmark;DNK;390,00;Denmark 2013;DNK13;0,30
208,00;Denmark;2014;208;Denmark;DNK;390,00;Denmark 2014;DNK14;0,10
208,00;Denmark;2015;208;Denmark;DNK;390,00;Denmark 2015;DNK15;0,20
208,00;Denmark;2016;208;Denmark;DNK;390,00;Denmark 2016;DNK16;0,20
208,00;Denmark;2017;208;Denmark;DNK;390,00;Denmark 2017;DNK17;0,10
208,00;Denmark;2018;208;Denmark;DNK;390,00;Denmark 2018;DNK18;0,20
208,00;Denmark;2019;208;Denmark;DNK;390,00;Denmark 2019;DNK19;0,20
208,00;Denmark;2020;208;Denmark;DNK;390,00;Denmark 2020;DNK20;0,10
208,00;Denmark;2021;208;Denmark;DNK;390,00;Denmark 2021;DNK21;0,10
214,00;Dominican Republic (the);1986;214;Dominican Republic;DOM;42,00;Dominican Republic 1986;DOM86;6,00
214,00;Dominican Republic (the);1989;214;Dominican Republic;DOM;42,00;Dominican Republic 1989;DOM89;14,10
214,00;Dominican Republic (the);1992;214;Dominican Republic;DOM;42,00;Dominican Republic 1992;DOM92;7,50
214,00;Dominican Republic (the);1996;214;Dominican Republic;DOM;42,00;Dominican Republic 1996;DOM96;6,10
214,00;Dominican Republic (the);1997;214;Dominican Republic;DOM;42,00;Dominican Republic 1997;DOM97;6,10
214,00;Dominican Republic (the);2000;214;Dominican Republic;DOM;42,00;Dominican Republic 2000;DOM00;6,00
214,00;Dominican Republic (the);2001;214;Dominican Republic;DOM;42,00;Dominican Republic 2001;DOM01;5,20
214,00;Dominican Republic (the);2002;214;Dominican Republic;DOM;42,00;Dominican Republic 2002;DOM02;6,60
214,00;Dominican Republic (the);2003;214;Dominican Republic;DOM;42,00;Dominican Republic 2003;DOM03;7,90
214,00;Dominican Republic (the);2004;214;Dominican Republic;DOM;42,00;Dominican Republic 2004;DOM04;10,30
214,00;Dominican Republic (the);2005;214;Dominican Republic;DOM;42,00;Dominican Republic 2005;DOM05;7,20
214,00;Dominican Republic (the);2006;214;Dominican Republic;DOM;42,00;Dominican Republic 2006;DOM06;6,00
214,00;Dominican Republic (the);2007;214;Dominican Republic;DOM;42,00;Dominican Republic 2007;DOM07;5,80
214,00;Dominican Republic (the);2008;214;Dominican Republic;DOM;42,00;Dominican Republic 2008;DOM08;5,60
214,00;Dominican Republic (the);2009;214;Dominican Republic;DOM;42,00;Dominican Republic 2009;DOM09;5,00
214,00;Dominican Republic (the);2010;214;Dominican Republic;DOM;42,00;Dominican Republic 2010;DOM10;4,60
214,00;Dominican Republic (the);2011;214;Dominican Republic;DOM;42,00;Dominican Republic 2011;DOM11;4,10
214,00;Dominican Republic (the);2012;214;Dominican Republic;DOM;42,00;Dominican Republic 2012;DOM12;4,20
214,00;Dominican Republic (the);2013;214;Dominican Republic;DOM;42,00;Dominican Republic 2013;DOM13;3,70
214,00;Dominican Republic (the);2014;214;Dominican Republic;DOM;42,00;Dominican Republic 2014;DOM14;3,10
214,00;Dominican Republic (the);2015;214;Dominican Republic;DOM;42,00;Dominican Republic 2015;DOM15;2,60
214,00;Dominican Republic (the);2016;214;Dominican Republic;DOM;42,00;Dominican Republic 2016;DOM16;2,30
214,00;Dominican Republic (the);2017;214;Dominican Republic;DOM;42,00;Dominican Republic 2017;DOM17;1,40
214,00;Dominican Republic (the);2018;214;Dominican Republic;DOM;42,00;Dominican Republic 2018;DOM18;0,90
214,00;Dominican Republic (the);2019;214;Dominican Republic;DOM;42,00;Dominican Republic 2019;DOM19;0,90
214,00;Dominican Republic (the);2020;214;Dominican Republic;DOM;42,00;Dominican Republic 2020;DOM20;1,30
214,00;Dominican Republic (the);2021;214;Dominican Republic;DOM;42,00;Dominican Republic 2021;DOM21;1,10
214,00;Dominican Republic (the);2022;214;Dominican Republic;DOM;42,00;Dominican Republic 2022;DOM22;0,90
218,00;Ecuador;1987;218;Ecuador;ECU;130,00;Ecuador 1987;ECU87;14,70
218,00;Ecuador;1994;218;Ecuador;ECU;130,00;Ecuador 1994;ECU94;15,30
218,00;Ecuador;1995;218;Ecuador;ECU;130,00;Ecuador 1995;ECU95;13,40
218,00;Ecuador;1998;218;Ecuador;ECU;130,00;Ecuador 1998;ECU98;14,30
218,00;Ecuador;1999;218;Ecuador;ECU;130,00;Ecuador 1999;ECU99;18,70
218,00;Ecuador;2000;218;Ecuador;ECU;130,00;Ecuador 2000;ECU00;23,00
218,00;Ecuador;2003;218;Ecuador;ECU;130,00;Ecuador 2003;ECU03;12,80
218,00;Ecuador;2004;218;Ecuador;ECU;130,00;Ecuador 2004;ECU04;13,20
218,00;Ecuador;2005;218;Ecuador;ECU;130,00;Ecuador 2005;ECU05;10,30
218,00;Ecuador;2006;218;Ecuador;ECU;130,00;Ecuador 2006;ECU06;7,40
218,00;Ecuador;2007;218;Ecuador;ECU;130,00;Ecuador 2007;ECU07;7,50
218,00;Ecuador;2008;218;Ecuador;ECU;130,00;Ecuador 2008;ECU08;6,90
218,00;Ecuador;2009;218;Ecuador;ECU;130,00;Ecuador 2009;ECU09;6,40
218,00;Ecuador;2010;218;Ecuador;ECU;130,00;Ecuador 2010;ECU10;5,20
218,00;Ecuador;2011;218;Ecuador;ECU;130,00;Ecuador 2011;ECU11;4,50
218,00;Ecuador;2012;218;Ecuador;ECU;130,00;Ecuador 2012;ECU12;4,10
218,00;Ecuador;2013;218;Ecuador;ECU;130,00;Ecuador 2013;ECU13;3,20
218,00;Ecuador;2014;218;Ecuador;ECU;130,00;Ecuador 2014;ECU14;2,70
218,00;Ecuador;2015;218;Ecuador;ECU;130,00;Ecuador 2015;ECU15;3,30
218,00;Ecuador;2016;218;Ecuador;ECU;130,00;Ecuador 2016;ECU16;3,30
218,00;Ecuador;2017;218;Ecuador;ECU;130,00;Ecuador 2017;ECU17;3,00
218,00;Ecuador;2018;218;Ecuador;ECU;130,00;Ecuador 2018;ECU18;3,10
218,00;Ecuador;2019;218;Ecuador;ECU;130,00;Ecuador 2019;ECU19;3,30
218,00;Ecuador;2020;218;Ecuador;ECU;130,00;Ecuador 2020;ECU20;5,40
218,00;Ecuador;2021;218;Ecuador;ECU;130,00;Ecuador 2021;ECU21;3,60
218,00;Ecuador;2022;218;Ecuador;ECU;130,00;Ecuador 2022;ECU22;3,10
218,00;Ecuador;2023;218;Ecuador;ECU;130,00;Ecuador 2023;ECU23;3,30
222,00;El Salvador;1989;222;El Salvador;SLV;92,00;El Salvador 1989;SLV89;16,70
222,00;El Salvador;1991;222;El Salvador;SLV;92,00;El Salvador 1991;SLV91;18,70
222,00;El Salvador;1995;222;El Salvador;SLV;92,00;El Salvador 1995;SLV95;12,00
222,00;El Salvador;1996;222;El Salvador;SLV;92,00;El Salvador 1996;SLV96;13,10
222,00;El Salvador;1998;222;El Salvador;SLV;92,00;El Salvador 1998;SLV98;18,00
222,00;El Salvador;1999;222;El Salvador;SLV;92,00;El Salvador 1999;SLV99;15,00
222,00;El Salvador;2000;222;El Salvador;SLV;92,00;El Salvador 2000;SLV00;11,20
222,00;El Salvador;2001;222;El Salvador;SLV;92,00;El Salvador 2001;SLV01;12,20
222,00;El Salvador;2002;222;El Salvador;SLV;92,00;El Salvador 2002;SLV02;12,40
222,00;El Salvador;2003;222;El Salvador;SLV;92,00;El Salvador 2003;SLV03;13,70
222,00;El Salvador;2004;222;El Salvador;SLV;92,00;El Salvador 2004;SLV04;10,30
222,00;El Salvador;2005;222;El Salvador;SLV;92,00;El Salvador 2005;SLV05;9,80
222,00;El Salvador;2006;222;El Salvador;SLV;92,00;El Salvador 2006;SLV06;7,00
222,00;El Salvador;2007;222;El Salvador;SLV;92,00;El Salvador 2007;SLV07;5,10
222,00;El Salvador;2008;222;El Salvador;SLV;92,00;El Salvador 2008;SLV08;7,00
222,00;El Salvador;2009;222;El Salvador;SLV;92,00;El Salvador 2009;SLV09;6,80
222,00;El Salvador;2010;222;El Salvador;SLV;92,00;El Salvador 2010;SLV10;6,20
222,00;El Salvador;2011;222;El Salvador;SLV;92,00;El Salvador 2011;SLV11;5,40
222,00;El Salvador;2012;222;El Salvador;SLV;92,00;El Salvador 2012;SLV12;4,70
222,00;El Salvador;2013;222;El Salvador;SLV;92,00;El Salvador 2013;SLV13;4,00
222,00;El Salvador;2014;222;El Salvador;SLV;92,00;El Salvador 2014;SLV14;3,80
222,00;El Salvador;2015;222;El Salvador;SLV;92,00;El Salvador 2015;SLV15;2,90
222,00;El Salvador;2016;222;El Salvador;SLV;92,00;El Salvador 2016;SLV16;3,20
222,00;El Salvador;2017;222;El Salvador;SLV;92,00;El Salvador 2017;SLV17;2,50
222,00;El Salvador;2018;222;El Salvador;SLV;92,00;El Salvador 2018;SLV18;2,30
222,00;El Salvador;2019;222;El Salvador;SLV;92,00;El Salvador 2019;SLV19;1,60
222,00;El Salvador;2021;222;El Salvador;SLV;92,00;El Salvador 2021;SLV21;3,20
222,00;El Salvador;2022;222;El Salvador;SLV;92,00;El Salvador 2022;SLV22;3,10
231,00;Ethiopia;1995;231;Ethiopia (1993-);ETH;530,00;Ethiopia (1993-) 1995;ETH95;49,60
231,00;Ethiopia;1999;231;Ethiopia (1993-);ETH;530,00;Ethiopia (1993-) 1999;ETH99;42,30
231,00;Ethiopia;2004;231;Ethiopia (1993-);ETH;530,00;Ethiopia (1993-) 2004;ETH04;28,20
231,00;Ethiopia;2010;231;Ethiopia (1993-);ETH;530,00;Ethiopia (1993-) 2010;ETH10;26,60
231,00;Ethiopia;2015;231;Ethiopia (1993-);ETH;530,00;Ethiopia (1993-) 2015;ETH15;23,50
233,00;Estonia;2003;233;Estonia;EST;366,00;Estonia 2003;EST03;2,30
233,00;Estonia;2004;233;Estonia;EST;366,00;Estonia 2004;EST04;1,10
233,00;Estonia;2005;233;Estonia;EST;366,00;Estonia 2005;EST05;0,70
233,00;Estonia;2006;233;Estonia;EST;366,00;Estonia 2006;EST06;0,70
233,00;Estonia;2007;233;Estonia;EST;366,00;Estonia 2007;EST07;0,40
233,00;Estonia;2008;233;Estonia;EST;366,00;Estonia 2008;EST08;0,40
233,00;Estonia;2009;233;Estonia;EST;366,00;Estonia 2009;EST09;0,50
233,00;Estonia;2010;233;Estonia;EST;366,00;Estonia 2010;EST10;0,70
233,00;Estonia;2011;233;Estonia;EST;366,00;Estonia 2011;EST11;0,80
233,00;Estonia;2012;233;Estonia;EST;366,00;Estonia 2012;EST12;0,60
233,00;Estonia;2013;233;Estonia;EST;366,00;Estonia 2013;EST13;0,80
233,00;Estonia;2014;233;Estonia;EST;366,00;Estonia 2014;EST14;0,70
233,00;Estonia;2015;233;Estonia;EST;366,00;Estonia 2015;EST15;0,50
233,00;Estonia;2016;233;Estonia;EST;366,00;Estonia 2016;EST16;0,40
233,00;Estonia;2017;233;Estonia;EST;366,00;Estonia 2017;EST17;0,30
233,00;Estonia;2018;233;Estonia;EST;366,00;Estonia 2018;EST18;0,30
233,00;Estonia;2019;233;Estonia;EST;366,00;Estonia 2019;EST19;0,50
233,00;Estonia;2020;233;Estonia;EST;366,00;Estonia 2020;EST20;0,30
233,00;Estonia;2021;233;Estonia;EST;366,00;Estonia 2021;EST21;0,30
242,00;Fiji;2002;242;Fiji;FJI;950,00;Fiji 2002;FJI02;2,80
242,00;Fiji;2008;242;Fiji;FJI;950,00;Fiji 2008;FJI08;1,90
242,00;Fiji;2013;242;Fiji;FJI;950,00;Fiji 2013;FJI13;1,10
242,00;Fiji;2019;242;Fiji;FJI;950,00;Fiji 2019;FJI19;2,60
246,00;Finland;1987;246;Finland;FIN;375,00;Finland 1987;FIN87;0,00
246,00;Finland;1991;246;Finland;FIN;375,00;Finland 1991;FIN91;0,00
246,00;Finland;1995;246;Finland;FIN;375,00;Finland 1995;FIN95;0,00
246,00;Finland;2000;246;Finland;FIN;375,00;Finland 2000;FIN00;0,00
246,00;Finland;2003;246;Finland;FIN;375,00;Finland 2003;FIN03;0,00
246,00;Finland;2004;246;Finland;FIN;375,00;Finland 2004;FIN04;0,00
246,00;Finland;2005;246;Finland;FIN;375,00;Finland 2005;FIN05;0,10
246,00;Finland;2006;246;Finland;FIN;375,00;Finland 2006;FIN06;0,10
246,00;Finland;2007;246;Finland;FIN;375,00;Finland 2007;FIN07;0,10
246,00;Finland;2008;246;Finland;FIN;375,00;Finland 2008;FIN08;0,10
246,00;Finland;2009;246;Finland;FIN;375,00;Finland 2009;FIN09;0,00
246,00;Finland;2010;246;Finland;FIN;375,00;Finland 2010;FIN10;0,00
246,00;Finland;2011;246;Finland;FIN;375,00;Finland 2011;FIN11;0,00
246,00;Finland;2012;246;Finland;FIN;375,00;Finland 2012;FIN12;0,00
246,00;Finland;2013;246;Finland;FIN;375,00;Finland 2013;FIN13;0,10
246,00;Finland;2014;246;Finland;FIN;375,00;Finland 2014;FIN14;0,10
246,00;Finland;2015;246;Finland;FIN;375,00;Finland 2015;FIN15;0,10
246,00;Finland;2016;246;Finland;FIN;375,00;Finland 2016;FIN16;0,00
246,00;Finland;2017;246;Finland;FIN;375,00;Finland 2017;FIN17;0,10
246,00;Finland;2018;246;Finland;FIN;375,00;Finland 2018;FIN18;0,10
246,00;Finland;2019;246;Finland;FIN;375,00;Finland 2019;FIN19;0,00
246,00;Finland;2020;246;Finland;FIN;375,00;Finland 2020;FIN20;0,00
246,00;Finland;2021;246;Finland;FIN;375,00;Finland 2021;FIN21;0,00
